"seller_id","total_revenue","total_orders","on_time_deliveries","on_time_delivery_pct","avg_review_score"
"7142540dd4c91e2237acb7e911c4eba2",44025.680000000044,"328","302","92.07","4.06"
"b839e41795b7f3ad94cc2014a52f6796",43749.93,"36","35","97.22","4.03"
"2eb70248d66e0e3ef83659f71b244378",42046.729999999996,"197","169","85.79","2.72"
"1835b56ce799e6a4dc4eddc053f04066",41628.28000000009,"551","493","89.47","3.59"
"7178f9f4dd81dcef02f62acdf8151e01",41180.43999999998,"215","205","95.35","4.03"
"7299e27ed73d2ad986de7f7c77d919fa",40911.93000000001,"358","341","95.25","4.42"
"dbc22125167c298ef99da25668e1011f",40616.549999999996,"417","407","97.60","4.23"
"c70c1b0d8ca86052f45a432a38b73958",40190.55999999991,"336","309","91.96","4.32"
"c3867b4666c7d76867627c2f7fb22e21",39360.200000000004,"241","214","88.80","3.85"
"53e4c6e0f4312d4d2107a8c9cddf45cd",39283.93000000001,"512","485","94.73","4.04"
"855668e0971d4dfd7bef1b6a4133b41b",38408.559999999976,"311","268","86.17","3.72"
"87142160b41353c4e5fca2360caf6f92",38314.309999999954,"339","320","94.40","4.36"
"0241d4d5d36f10f80c644447315af0bd",38251.61000000004,"246","232","94.31","4.30"
"e9bc59e7b60fc3063eb2290deda4cced",38082.420000000006,"260","227","87.31","3.94"
"59417c56835dd8e2e72f91f809cd4092",37657.770000000004,"18","18","100.00","4.28"
"2528513dd95219a6013d4d05176e391a",36400.97,"166","157","94.58","3.96"
"88460e8ebdecbfecb5f9601833981930",36258.59000000003,"300","241","80.33","3.35"
"76d5af76d0271110f9af36c92573f765",35731.65999999999,"155","142","91.61","4.14"
"1554a68530182680ad5c8b042c3ab563",35714.560000000005,"267","248","92.88","4.25"
"9c0e69c7bf2619675bbadf47b43f655a",35543.820000000014,"200","181","90.50","4.02"
"70a12e78e608ac31179aea7f8422044b",35487.249999999985,"323","288","89.16","3.77"
"5c243662ce92d84573bfaff24c3e3700",34637.659999999996,"100","97","97.00","4.13"
"70eea00b476a314817cefde4aad4f89a",34149.66,"112","104","92.86","4.34"
"7681ef142fd2c19048da7430856b5588",34074.67,"76","67","88.16","4.12"
"001cca7ae9ae17fb1caed9dfb1094831",33142.90000000004,"234","221","94.44","3.90"
"e59aa562b9f8076dd550fcddf0e73491",32876.37,"82","75","91.46","4.25"
"1900267e848ceeba8fa32d80c1a5f5a8",32679.540000000005,"523","471","90.06","3.85"
"d1c281d3ae149232351cd8c8cc885f0d",32213.679999999997,"239","218","91.21","3.78"
"0b90b6df587eb83608a64ea8b390cf07",32090.939999999984,"209","202","96.65","4.02"
"59b22a78efb79a4797979612b885db36",32082.069999999996,"133","116","87.22","3.97"
"d23019c84ffae2d5ef2270367b8605fc",31954.839999999997,"39","38","97.44","4.41"
